t (s),v (m/s)
723.2957197,15.31999969
724.2903395,15.71000004
725.2862474,16
726.2925716,16.51000023
727.2939241,16.89999962
728.3062442,17.25
729.2960374,17.56999969
730.2981919,17.95000076
731.3005689,18.73999977
732.3000586,19.62999916
733.2996135,17.87000084
734.3017923,18.48999977
735.2927824,18.42000008
736.2813376,18.55999947
737.2906605,18.80999947
738.2852426,19.02000046
739.2927111,18.79999924
740.3009239,18.70999908
741.2985881,18.81999969
742.3015783,18.52000046
743.2998554,17.71999931
744.3068752,16.92000008
745.2946073,17.13999939
746.2821522,17.45999908
747.299866,16.70000076
748.2937271,15.71000004
749.2957005,16.29999924
750.286162,16.88999939
751.3077,16.73999977
752.2953039,16.57999992
753.3050645,16.85000038
754.2929632,17.25
755.3015757,17.25
756.3015301,15.82999992
757.2987028,16.14999962
758.3037052,16.38999939
759.2899236,15.15999985
760.2933992,15.01000023
761.3022974,15.47000027
762.3006645,15.85999966
763.3025211,16.12000084
764.2964636,16.51000023
765.3004557,16.75
766.2963785,17.14999962
767.2988707,17.42000008
768.3023459,17.27000046
769.3038524,17.81999969
770.2921731,18.31999969
771.2992342,18.80999947
772.3005396,19.40999985
773.2958007,18.73999977
774.2986492,17.29000092
775.2988814,17.03000069
776.2913231,15.98999977
777.3013314,15.60999966
778.3049528,14.53999996
779.2868628,12.06000042
780.2944439,11.14999962
781.2977268,10.97000027
782.3019252,11.43000031
783.2970827,11.03999996
784.3033006,11.46000004
785.2866264,11.81999969
786.2876592,11.89000034
787.297828,12.17000008
788.2971123,12.61999989
789.290523,12.81000042
790.2806622,13.15999985
791.2929025,13.47999954
792.2970191,13.72000027
793.2985628,13.89000034
794.2998654,13.90999985
795.2964559,13.97000027
796.3033943,14.02000046
797.3004617,14.09000015
798.2851376,14.02000046
799.3002437,14.21000004
800.29947,14.25
801.2886468,14.76000023
802.3042193,14.72000027
803.3014604,14.77999973
804.2972225,14.75
805.2935667,15.11999989
806.2937848,14.65999985
807.3011135,13.57999992
808.3024933,13.72999954
809.3000448,13.61999989
810.2881362,14.35999966
811.2983193,13.10999966
812.3021377,13.51000023
813.2954819,13.77999973
814.2899005,14.19999981
815.2898609,14.14000034
816.2944199,13.53999996
817.3001198,14.63000011
818.2964183,14.56999969
819.2939547,13.77000046
820.296668,13.96000004
821.2948946,13.86999989
822.2997119,13.52999973
823.3018795,14.43999958
824.3025667,13.81999969
825.3077464,13.47999954
826.2856979,13.32999992
827.2903505,13.23999977
828.2911002,12.80000019
829.2960789,12.56000042
830.2840636,12.63000011
831.2943291,12.5
832.3053311,12.40999985
833.3070743,12.53999996
834.2850424,12.84000015
835.3026359,12.72999954
836.3009821,12.64999962
837.2878951,12.81000042
838.281553,12.84000015
839.2854468,12.69999981
840.2977379,12.59000015
841.2971486,12.64999962
842.3041596,13.43999958
843.2977465,12.42000008
844.3008025,12.67000008
845.2923623,12.36999989
